file,tau,redrafts,advances,rejects,call_ratio
dwm_gatetest_2301459_2.log,0.121,158,2,138,1.129
dwm_gatetest_2301459_2.log,0.121,178,2,158,1.113
dwm_gatetest_2301459_2.log,0.121,198,2,178,1.100
dwm_gatetest_2301459_2.log,0.121,218,2,198,1.090
dwm_gatetest_2301459_2.log,0.121,238,2,218,1.082
dwm_gatetest_2301459_2.log,0.121,257,3,237,1.071
dwm_gatetest_2301459_2.log,0.121,257,3,237,1.071
dwm_gatetest_2301459_3.log,0.121,40,0,20,2.000
dwm_gatetest_2301459_3.log,0.121,60,0,40,1.500
dwm_gatetest_2301459_3.log,0.121,80,0,60,1.333
dwm_gatetest_2301459_3.log,0.121,100,0,80,1.250
dwm_gatetest_2301459_3.log,0.121,120,0,100,1.200
dwm_gatetest_2301459_3.log,0.121,140,0,120,1.167
dwm_gatetest_2301459_3.log,0.121,160,0,140,1.143
dwm_gatetest_2301459_3.log,0.121,180,0,160,1.125
dwm_gatetest_2301459_3.log,0.121,198,2,178,1.100
dwm_gatetest_2301459_3.log,0.121,218,2,198,1.090
dwm_gatetest_2301459_3.log,0.121,237,3,217,1.077
dwm_gatetest_2301459_3.log,0.121,257,3,237,1.071
dwm_gatetest_2301459_3.log,0.121,257,3,237,1.071
dwm_gatetest_2301459_4.log,0.121,40,0,20,2.000
dwm_gatetest_2301459_4.log,0.121,58,1,38,1.450
dwm_gatetest_2301459_4.log,0.121,76,1,56,1.267
dwm_gatetest_2301459_4.log,0.121,93,2,73,1.163
dwm_gatetest_2301459_4.log,0.121,111,2,91,1.110
dwm_gatetest_2301459_4.log,0.121,127,4,107,1.058
dwm_gatetest_2301459_4.log,0.121,144,5,124,1.029
dwm_gatetest_2301459_4.log,0.121,162,5,142,1.012
dwm_gatetest_2301459_4.log,0.121,180,5,160,1.000
dwm_gatetest_2301459_4.log,0.121,196,7,176,0.980
dwm_gatetest_2301459_4.log,0.121,213,8,193,0.968
dwm_gatetest_2301459_4.log,0.121,231,8,211,0.963
dwm_gatetest_2301459_4.log,0.121,231,8,211,0.963
dwm_gatetest_2301459_5.log,0.121,40,0,20,2.000
dwm_gatetest_2301459_5.log,0.121,59,0,39,1.475
dwm_gatetest_2301459_5.log,0.121,78,0,58,1.300
dwm_gatetest_2301459_5.log,0.121,96,1,76,1.200
dwm_gatetest_2301459_5.log,0.121,115,1,95,1.150
dwm_gatetest_2301459_5.log,0.121,134,1,114,1.117
dwm_gatetest_2301459_5.log,0.121,153,1,133,1.093
dwm_gatetest_2301459_5.log,0.121,172,1,152,1.075
dwm_gatetest_2301459_5.log,0.121,191,1,171,1.061
dwm_gatetest_2301459_5.log,0.121,210,1,190,1.050
dwm_gatetest_2301459_5.log,0.121,229,1,209,1.041
dwm_gatetest_2301459_5.log,0.121,248,1,228,1.033
dwm_gatetest_2301459_5.log,0.121,248,1,228,1.033
dwm_gatetest_spec_gate_s100.log,0.121,40,0,20,2.000
dwm_gatetest_spec_gate_s100.log,0.121,59,0,39,1.475
dwm_gatetest_spec_gate_s100.log,0.121,78,0,58,1.300
dwm_gatetest_spec_gate_s100.log,0.121,96,1,76,1.200
dwm_gatetest_spec_gate_s100.log,0.121,115,1,95,1.150
dwm_gatetest_spec_gate_s100.log,0.121,134,1,114,1.117
dwm_gatetest_spec_gate_s100.log,0.121,153,1,133,1.093
dwm_gatetest_spec_gate_s100.log,0.121,172,1,152,1.075
dwm_gatetest_spec_gate_s100.log,0.121,191,1,171,1.061
dwm_gatetest_spec_gate_s100.log,0.121,210,1,190,1.050
dwm_gatetest_spec_gate_s100.log,0.121,229,1,209,1.041
dwm_gatetest_spec_gate_s100.log,0.121,248,1,228,1.033
dwm_gatetest_spec_gate_s100.log,0.121,248,1,228,1.033
dwm_gatetest_spec_gate_s99.log,0.121,40,0,20,2.000
dwm_gatetest_spec_gate_s99.log,0.121,58,1,38,1.450
dwm_gatetest_spec_gate_s99.log,0.121,76,1,56,1.267
dwm_gatetest_spec_gate_s99.log,0.121,93,2,73,1.163
dwm_gatetest_spec_gate_s99.log,0.121,111,2,91,1.110
dwm_gatetest_spec_gate_s99.log,0.121,127,4,107,1.058
dwm_gatetest_spec_gate_s99.log,0.121,144,5,124,1.029
dwm_gatetest_spec_gate_s99.log,0.121,162,5,142,1.012
dwm_gatetest_spec_gate_s99.log,0.121,180,5,160,1.000
dwm_gatetest_spec_gate_s99.log,0.121,196,7,176,0.980
dwm_gatetest_spec_gate_s99.log,0.121,213,8,193,0.968
dwm_gatetest_spec_gate_s99.log,0.121,231,8,211,0.963
dwm_gatetest_spec_gate_s99.log,0.121,231,8,211,0.963
dwm_gatetest_spec_nogate_s100.log,0.121,40,0,20,2.000
dwm_gatetest_spec_nogate_s100.log,0.121,60,0,40,1.500
dwm_gatetest_spec_nogate_s100.log,0.121,80,0,60,1.333
dwm_gatetest_spec_nogate_s100.log,0.121,100,0,80,1.250
dwm_gatetest_spec_nogate_s100.log,0.121,120,0,100,1.200
dwm_gatetest_spec_nogate_s100.log,0.121,140,0,120,1.167
dwm_gatetest_spec_nogate_s100.log,0.121,160,0,140,1.143
dwm_gatetest_spec_nogate_s100.log,0.121,180,0,160,1.125
dwm_gatetest_spec_nogate_s100.log,0.121,198,2,178,1.100
dwm_gatetest_spec_nogate_s100.log,0.121,218,2,198,1.090
dwm_gatetest_spec_nogate_s100.log,0.121,237,3,217,1.077
dwm_gatetest_spec_nogate_s100.log,0.121,257,3,237,1.071
dwm_gatetest_spec_nogate_s100.log,0.121,257,3,237,1.071
dwm_gatetest_spec_nogate_s99.log,0.121,40,0,20,2.000
dwm_gatetest_spec_nogate_s99.log,0.121,59,1,39,1.475
dwm_gatetest_spec_nogate_s99.log,0.121,79,1,59,1.317
dwm_gatetest_spec_nogate_s99.log,0.121,99,1,79,1.238
dwm_gatetest_spec_nogate_s99.log,0.121,119,1,99,1.190
dwm_gatetest_spec_nogate_s99.log,0.121,139,1,119,1.158
dwm_gatetest_spec_nogate_s99.log,0.121,158,2,138,1.129
dwm_gatetest_spec_nogate_s99.log,0.121,178,2,158,1.113
dwm_gatetest_spec_nogate_s99.log,0.121,198,2,178,1.100
dwm_gatetest_spec_nogate_s99.log,0.121,218,2,198,1.090
dwm_gatetest_spec_nogate_s99.log,0.121,238,2,218,1.082
dwm_gatetest_spec_nogate_s99.log,0.121,257,3,237,1.071
dwm_gatetest_spec_nogate_s99.log,0.121,257,3,237,1.071
dwm_specsmoke_2299660.log,0.121,14,0,12,1.167
dwm_wallbat2_2300262_4.log,0.2,250,599,1,0.417
dwm_wallbat2_2300262_5.log,0.2,256,589,11,0.427
dwm_wallbat2_2300262_6.log,0.2,250,600,0,0.417
dwm_wallbat2_2300262_7.log,0.2,257,588,12,0.428
dwm_wallbat2_spec_t020_s100.log,0.2,256,589,11,0.427
dwm_wallbat2_spec_t020_s101.log,0.2,250,600,0,0.417
dwm_wallbat2_spec_t020_s102.log,0.2,257,588,12,0.428
dwm_wallbat2_spec_t020_s99.log,0.2,250,599,1,0.417
gatev3_confirm_2272817_32.log,0.2,328,165,176,0.665
gatev3_confirm_2272817_33.log,0.2,319,165,174,0.659
gatev3_confirm_2272817_34.log,0.2,322,161,182,0.667
gatev3_confirm_2272817_35.log,0.2,317,179,169,0.639
gatev3_confirm_2272817_36.log,0.2,443,265,267,0.626
gatev3_confirm_2272817_37.log,0.2,409,256,242,0.615
gatev3_confirm_2272817_38.log,0.2,447,267,270,0.626
gatev3_confirm_2272817_39.log,0.2,481,282,296,0.630
gatev3_confirm_2272817_40.log,0.2,742,426,534,0.635
gatev3_confirm_2272817_41.log,0.2,646,377,443,0.631
gatev3_confirm_2272817_42.log,0.2,734,439,530,0.626
gatev3_confirm_2272817_43.log,0.2,710,433,497,0.621
gatev3_confirm_2272817_44.log,0.2,879,542,660,0.619
gatev3_confirm_2272817_45.log,0.2,859,539,627,0.614
gatev3_confirm_2272817_46.log,0.2,930,560,699,0.624
gatev3_confirm_2272817_47.log,0.2,849,464,635,0.647
gatev3_spec_t100_seed42.log,0.2,742,426,534,0.635
gatev3_spec_t100_seed43.log,0.2,646,377,443,0.631
gatev3_spec_t100_seed44.log,0.2,734,439,530,0.626
gatev3_spec_t100_seed45.log,0.2,710,433,497,0.621
gatev3_spec_t150_seed42.log,0.2,879,542,660,0.619
gatev3_spec_t150_seed43.log,0.2,859,539,627,0.614
gatev3_spec_t150_seed44.log,0.2,930,560,699,0.624
gatev3_spec_t150_seed45.log,0.2,849,464,635,0.647
gatev3_spec_t25_seed42.log,0.2,328,165,176,0.665
gatev3_spec_t25_seed43.log,0.2,319,165,174,0.659
gatev3_spec_t25_seed44.log,0.2,322,161,182,0.667
gatev3_spec_t25_seed45.log,0.2,317,179,169,0.639
gatev3_spec_t50_seed42.log,0.2,443,265,267,0.626
gatev3_spec_t50_seed43.log,0.2,409,256,242,0.615
gatev3_spec_t50_seed44.log,0.2,447,267,270,0.626
gatev3_spec_t50_seed45.log,0.2,481,282,296,0.630
gatev4c_eval_2276034_32.log,0.2,327,160,182,0.671
gatev4c_eval_2276034_33.log,0.2,301,158,147,0.656
gatev4c_eval_2276034_34.log,0.2,314,153,167,0.672
gatev4c_eval_2276034_35.log,0.2,313,148,164,0.679
gatev4c_eval_2276034_36.log,0.2,532,313,358,0.630
gatev4c_eval_2276034_37.log,0.2,495,320,310,0.607
