=== train gdm_stride25.pt (faithful recipe, subgoal-step 25 ) ===
[cfg] {'subgoals': 'subgoals_dense_full.pt', 'out': 'gdm_stride25.pt', 'device': 'cuda', 'seed': 42, 'mask': '5', 'custom_mask_file': None, 'window_rule': 'clamp', 'subgoal_step': 25, 'latent_dim': 192, 'n_future': 3, 'wg': 1, 'hidden': 512, 'depth': 11, 'heads': 8, 'mlp_ratio': 4.0, 'goal_cond': False, 'goal_rule': 'final', 'goal_gap': None, 'goal_gap_max': None, 'timesteps': 1000, 'parameterization': 'eps', 'schedule': 'linear', 'min_snr_gamma': 0.0, 'sampler': 'ddim', 'normalization': 'standardize', 'epochs': 20, 'batch_size': 128, 'lr': 5e-05, 'weight_decay': 0.001, 'grad_clip': 1.0, 'lr_schedule': 'warmup_cosine', 'warmup_frac': 0.01, 'amp': True, 'ema_decay': 0.0, 'num_workers': 0, 'log_every': 500}
[data] mask=5deg: 9094 episodes used; 1100325 (cond,target) pairs; window_rule=clamp; file_stride=1 subgoal_step=25 => subgoal horizon = 25 frames
[norm] native ||z|| mean=13.48 (sqrt(D)=13.86); standardize per-dim (mean|.|=0.133, std mean=0.956)
[model] GDM (DiT) head params = 53.34M (hidden=512 depth=11 heads=8); diffusion T=1000 param=eps schedule=linear sampler=ddim norm=standardize min_snr_gamma=0.0
[sched] warmup_cosine: total_steps=171940 warmup=1719 peak_lr=5.0e-05 -> 0 (eta_min)
  [iter 108000] loss=0.01683 (run 0.01433, 6547s, 61ms/it)
  [iter 108500] loss=0.01426 (run 0.01429, 6577s, 61ms/it)
  [iter 109000] loss=0.02070 (run 0.01428, 6606s, 61ms/it)
  [iter 109500] loss=0.01204 (run 0.01425, 6636s, 61ms/it)
  [iter 110000] loss=0.01192 (run 0.01423, 6666s, 61ms/it)
  [iter 110500] loss=0.01410 (run 0.01423, 6696s, 61ms/it)
  [iter 111000] loss=0.01234 (run 0.01421, 6726s, 61ms/it)
  [iter 111500] loss=0.01346 (run 0.01420, 6756s, 61ms/it)
[epoch 13/20] loss=0.01418 iters=111761 (6772s)
  [iter 112000] loss=0.01567 (run 0.01353, 6786s, 61ms/it)
  [iter 112500] loss=0.01634 (run 0.01366, 6816s, 61ms/it)
  [iter 113000] loss=0.01211 (run 0.01383, 6846s, 61ms/it)
  [iter 113500] loss=0.01024 (run 0.01371, 6876s, 61ms/it)
  [iter 114000] loss=0.01692 (run 0.01367, 6905s, 61ms/it)
  [iter 114500] loss=0.01141 (run 0.01367, 6935s, 61ms/it)
  [iter 115000] loss=0.01805 (run 0.01367, 6965s, 61ms/it)
  [iter 115500] loss=0.00925 (run 0.01364, 6995s, 61ms/it)
  [iter 116000] loss=0.01772 (run 0.01363, 7024s, 61ms/it)
  [iter 116500] loss=0.01074 (run 0.01362, 7054s, 61ms/it)
  [iter 117000] loss=0.01736 (run 0.01361, 7084s, 61ms/it)
  [iter 117500] loss=0.01223 (run 0.01361, 7113s, 61ms/it)
  [iter 118000] loss=0.01220 (run 0.01361, 7143s, 61ms/it)
  [iter 118500] loss=0.01211 (run 0.01356, 7173s, 61ms/it)
  [iter 119000] loss=0.01196 (run 0.01354, 7202s, 61ms/it)
  [iter 119500] loss=0.01474 (run 0.01352, 7232s, 61ms/it)
  [iter 120000] loss=0.02415 (run 0.01350, 7262s, 61ms/it)
[epoch 14/20] loss=0.01347 iters=120358 (7283s)
  [iter 120500] loss=0.01552 (run 0.01335, 7292s, 61ms/it)
  [iter 121000] loss=0.01654 (run 0.01329, 7321s, 61ms/it)
  [iter 121500] loss=0.00895 (run 0.01330, 7351s, 61ms/it)
  [iter 122000] loss=0.01517 (run 0.01327, 7381s, 60ms/it)
  [iter 122500] loss=0.01412 (run 0.01321, 7410s, 60ms/it)
  [iter 123000] loss=0.01714 (run 0.01322, 7440s, 60ms/it)
  [iter 123500] loss=0.00858 (run 0.01318, 7470s, 60ms/it)
  [iter 124000] loss=0.02092 (run 0.01313, 7500s, 60ms/it)
  [iter 124500] loss=0.01185 (run 0.01310, 7530s, 60ms/it)
  [iter 125000] loss=0.00836 (run 0.01309, 7559s, 60ms/it)
  [iter 125500] loss=0.00988 (run 0.01305, 7589s, 60ms/it)
  [iter 126000] loss=0.01280 (run 0.01305, 7619s, 60ms/it)
  [iter 126500] loss=0.00951 (run 0.01303, 7649s, 60ms/it)
  [iter 127000] loss=0.00950 (run 0.01303, 7679s, 60ms/it)
  [iter 127500] loss=0.01872 (run 0.01302, 7709s, 60ms/it)
  [iter 128000] loss=0.01136 (run 0.01299, 7739s, 60ms/it)
  [iter 128500] loss=0.01799 (run 0.01298, 7769s, 60ms/it)
[epoch 15/20] loss=0.01295 iters=128955 (7796s)
  [iter 129000] loss=0.01157 (run 0.01163, 7798s, 60ms/it)
  [iter 129500] loss=0.01523 (run 0.01245, 7829s, 60ms/it)
  [iter 130000] loss=0.02354 (run 0.01260, 7859s, 60ms/it)
  [iter 130500] loss=0.01106 (run 0.01256, 7889s, 60ms/it)
  [iter 131000] loss=0.02160 (run 0.01258, 7919s, 60ms/it)
  [iter 131500] loss=0.00773 (run 0.01254, 7949s, 60ms/it)
  [iter 132000] loss=0.01408 (run 0.01253, 7978s, 60ms/it)
  [iter 132500] loss=0.01579 (run 0.01253, 8009s, 60ms/it)
  [iter 133000] loss=0.01367 (run 0.01252, 8039s, 60ms/it)
  [iter 133500] loss=0.01099 (run 0.01253, 8069s, 60ms/it)
  [iter 134000] loss=0.02547 (run 0.01250, 8099s, 60ms/it)
  [iter 134500] loss=0.01077 (run 0.01250, 8129s, 60ms/it)
  [iter 135000] loss=0.01566 (run 0.01249, 8159s, 60ms/it)
