=== train gdm_stride5.pt (faithful recipe, subgoal-step 5) ===
[cfg] {'subgoals': 'subgoals_dense_full.pt', 'out': 'gdm_stride5.pt', 'device': 'cuda', 'seed': 42, 'mask': '5', 'custom_mask_file': None, 'window_rule': 'clamp', 'subgoal_step': 5, 'latent_dim': 192, 'n_future': 3, 'wg': 1, 'hidden': 512, 'depth': 11, 'heads': 8, 'mlp_ratio': 4.0, 'goal_cond': False, 'goal_rule': 'final', 'goal_gap': None, 'goal_gap_max': None, 'timesteps': 1000, 'parameterization': 'eps', 'schedule': 'linear', 'min_snr_gamma': 0.0, 'sampler': 'ddim', 'normalization': 'standardize', 'epochs': 20, 'batch_size': 128, 'lr': 5e-05, 'weight_decay': 0.001, 'grad_clip': 1.0, 'lr_schedule': 'warmup_cosine', 'warmup_frac': 0.01, 'amp': True, 'ema_decay': 0.0, 'num_workers': 0, 'log_every': 500}
[data] mask=5deg: 9094 episodes used; 1100325 (cond,target) pairs; window_rule=clamp; file_stride=1 subgoal_step=5 => subgoal horizon = 5 frames
[norm] native ||z|| mean=13.81 (sqrt(D)=13.86); standardize per-dim (mean|.|=0.055, std mean=0.994)
[model] GDM (DiT) head params = 53.34M (hidden=512 depth=11 heads=8); diffusion T=1000 param=eps schedule=linear sampler=ddim norm=standardize min_snr_gamma=0.0
[sched] warmup_cosine: total_steps=171940 warmup=1719 peak_lr=5.0e-05 -> 0 (eta_min)
  [iter 116500] loss=0.00938 (run 0.01394, 7084s, 61ms/it)
  [iter 117000] loss=0.01940 (run 0.01393, 7114s, 61ms/it)
  [iter 117500] loss=0.01332 (run 0.01393, 7144s, 61ms/it)
  [iter 118000] loss=0.01341 (run 0.01392, 7174s, 61ms/it)
  [iter 118500] loss=0.01178 (run 0.01388, 7204s, 61ms/it)
  [iter 119000] loss=0.01270 (run 0.01385, 7234s, 61ms/it)
  [iter 119500] loss=0.01451 (run 0.01384, 7265s, 61ms/it)
  [iter 120000] loss=0.02357 (run 0.01382, 7295s, 61ms/it)
[epoch 14/20] loss=0.01379 iters=120358 (7317s)
  [iter 120500] loss=0.01536 (run 0.01369, 7325s, 61ms/it)
  [iter 121000] loss=0.02168 (run 0.01352, 7355s, 61ms/it)
  [iter 121500] loss=0.00784 (run 0.01357, 7386s, 61ms/it)
  [iter 122000] loss=0.01606 (run 0.01351, 7416s, 61ms/it)
  [iter 122500] loss=0.01337 (run 0.01344, 7447s, 61ms/it)
  [iter 123000] loss=0.01461 (run 0.01344, 7477s, 61ms/it)
  [iter 123500] loss=0.00837 (run 0.01341, 7507s, 61ms/it)
  [iter 124000] loss=0.02287 (run 0.01337, 7537s, 61ms/it)
  [iter 124500] loss=0.01243 (run 0.01332, 7567s, 61ms/it)
  [iter 125000] loss=0.00694 (run 0.01331, 7598s, 61ms/it)
  [iter 125500] loss=0.01037 (run 0.01327, 7628s, 61ms/it)
  [iter 126000] loss=0.01377 (run 0.01327, 7658s, 61ms/it)
  [iter 126500] loss=0.01026 (run 0.01326, 7687s, 61ms/it)
  [iter 127000] loss=0.00991 (run 0.01326, 7717s, 61ms/it)
  [iter 127500] loss=0.01806 (run 0.01324, 7746s, 61ms/it)
  [iter 128000] loss=0.01234 (run 0.01321, 7776s, 61ms/it)
  [iter 128500] loss=0.02061 (run 0.01320, 7805s, 61ms/it)
[epoch 15/20] loss=0.01317 iters=128955 (7833s)
  [iter 129000] loss=0.01314 (run 0.01188, 7836s, 61ms/it)
  [iter 129500] loss=0.01692 (run 0.01264, 7866s, 61ms/it)
  [iter 130000] loss=0.02318 (run 0.01279, 7896s, 61ms/it)
  [iter 130500] loss=0.01318 (run 0.01279, 7926s, 61ms/it)
  [iter 131000] loss=0.02139 (run 0.01279, 7957s, 61ms/it)
  [iter 131500] loss=0.00627 (run 0.01276, 7987s, 61ms/it)
  [iter 132000] loss=0.01471 (run 0.01276, 8017s, 61ms/it)
  [iter 132500] loss=0.01389 (run 0.01274, 8047s, 61ms/it)
  [iter 133000] loss=0.01326 (run 0.01273, 8078s, 61ms/it)
  [iter 133500] loss=0.01123 (run 0.01273, 8108s, 61ms/it)
  [iter 134000] loss=0.02524 (run 0.01270, 8138s, 61ms/it)
  [iter 134500] loss=0.01195 (run 0.01271, 8169s, 61ms/it)
  [iter 135000] loss=0.01869 (run 0.01270, 8198s, 61ms/it)
