file,header,env,subgoal,mode,n,seed,S,eval_filter,offset,budget,epfile,sr20,sr5,srq,call_ratio,tau,k
reacher_frontierjob_2270577_14.log,"frontier: s10spec tau=0.3 k=8 seed=42 (t100, budget 200)",reacher,specaccept,,128,42,10,,100,200,reacher_horizon.ep.frontier.t14.json,,,92.19,0.511,0.3,8
reacher_frontierjob_2270577_15.log,"frontier: s10spec tau=0.3 k=8 seed=43 (t100, budget 200)",reacher,specaccept,,128,43,10,,100,200,reacher_horizon.ep.frontier.t15.json,,,91.41,0.523,0.3,8
reacher_frontierjob_2270577_16.log,"frontier: s10spec tau=0.3 k=16 seed=42 (t100, budget 200)",reacher,specaccept,,128,42,10,,100,200,reacher_horizon.ep.frontier.t16.json,,,85.16,0.513,0.3,16
reacher_frontierjob_2270577_17.log,"frontier: s10spec tau=0.3 k=16 seed=43 (t100, budget 200)",reacher,specaccept,,128,43,10,,100,200,reacher_horizon.ep.frontier.t17.json,,,88.28,0.515,0.3,16
reacher_frontierjob_2270577_18.log,"frontier: s10spec tau=0.4 k=4 seed=42 (t100, budget 200)",reacher,specaccept,,128,42,10,,100,200,reacher_horizon.ep.frontier.t18.json,,,90.62,0.447,0.4,4
reacher_frontierjob_2270577_19.log,"frontier: s10spec tau=0.4 k=4 seed=43 (t100, budget 200)",reacher,specaccept,,128,43,10,,100,200,reacher_horizon.ep.frontier.t19.json,,,89.84,0.476,0.4,4
reacher_frontierjob_2270577_2.log,"frontier: s10spec tau=0.1 k=8 seed=42 (t100, budget 200)",reacher,specaccept,,128,42,10,,100,200,reacher_horizon.ep.frontier.t2.json,,,91.41,0.822,0.1,8
reacher_frontierjob_2270577_20.log,"frontier: s10spec tau=0.4 k=8 seed=42 (t100, budget 200)",reacher,specaccept,,128,42,10,,100,200,reacher_horizon.ep.frontier.t20.json,,,89.84,0.452,0.4,8
reacher_frontierjob_2270577_21.log,"frontier: s10spec tau=0.4 k=8 seed=43 (t100, budget 200)",reacher,specaccept,,128,43,10,,100,200,reacher_horizon.ep.frontier.t21.json,,,90.62,0.461,0.4,8
reacher_frontierjob_2270577_22.log,"frontier: s10spec tau=0.4 k=16 seed=42 (t100, budget 200)",reacher,specaccept,,128,42,10,,100,200,reacher_horizon.ep.frontier.t22.json,,,82.81,0.453,0.4,16
reacher_frontierjob_2270577_23.log,"frontier: s10spec tau=0.4 k=16 seed=43 (t100, budget 200)",reacher,specaccept,,128,43,10,,100,200,reacher_horizon.ep.frontier.t23.json,,,87.50,0.459,0.4,16
reacher_frontierjob_2270577_3.log,"frontier: s10spec tau=0.1 k=8 seed=43 (t100, budget 200)",reacher,specaccept,,128,43,10,,100,200,reacher_horizon.ep.frontier.t3.json,,,95.31,0.824,0.1,8
reacher_frontierjob_2270577_4.log,"frontier: s10spec tau=0.1 k=16 seed=42 (t100, budget 200)",reacher,specaccept,,128,42,10,,100,200,reacher_horizon.ep.frontier.t4.json,,,92.97,0.820,0.1,16
reacher_frontierjob_2270577_5.log,"frontier: s10spec tau=0.1 k=16 seed=43 (t100, budget 200)",reacher,specaccept,,128,43,10,,100,200,reacher_horizon.ep.frontier.t5.json,,,92.97,0.816,0.1,16
reacher_frontierjob_2270577_6.log,"frontier: s10spec tau=0.2 k=4 seed=42 (t100, budget 200)",reacher,specaccept,,128,42,10,,100,200,reacher_horizon.ep.frontier.t6.json,,,94.53,0.634,0.2,4
reacher_frontierjob_2270577_7.log,"frontier: s10spec tau=0.2 k=4 seed=43 (t100, budget 200)",reacher,specaccept,,128,43,10,,100,200,reacher_horizon.ep.frontier.t7.json,,,96.88,0.641,0.2,4
reacher_frontierjob_2270577_8.log,"frontier: s10spec tau=0.2 k=8 seed=42 (t100, budget 200)",reacher,specaccept,,128,42,10,,100,200,reacher_horizon.ep.frontier.t8.json,,,92.97,0.596,0.2,8
reacher_frontierjob_2270577_9.log,"frontier: s10spec tau=0.2 k=8 seed=43 (t100, budget 200)",reacher,specaccept,,128,43,10,,100,200,reacher_horizon.ep.frontier.t9.json,,,93.75,0.621,0.2,8
reacher_gate_t100_seed42.log,,reacher,specaccept,,128,42,10,,100,200,reacher_gate.ep100.t4.json,,,82.03,0.830,0.2,8
reacher_gate_t100_seed43.log,,reacher,specaccept,,128,43,10,,100,200,reacher_gate.ep100.t5.json,,,83.59,0.805,0.2,8
reacher_gate_t150_seed42.log,,reacher,specaccept,,128,42,10,,150,300,reacher_gate.ep150.t6.json,,,81.25,0.792,0.2,8
reacher_gate_t150_seed43.log,,reacher,specaccept,,128,43,10,,150,300,reacher_gate.ep150.t7.json,,,78.91,0.794,0.2,8
reacher_gate_t25_seed42.log,,reacher,specaccept,,128,42,10,,25,50,,,,90.62,0.857,0.2,8
reacher_gate_t25_seed43.log,,reacher,specaccept,,128,43,10,,25,50,,,,93.75,0.851,0.2,8
reacher_gate_t25_seed44.log,,reacher,specaccept,,128,44,10,,25,50,,,,90.62,0.830,0.2,8
reacher_gate_t25_seed45.log,,reacher,specaccept,,128,45,10,,25,50,,,,91.41,0.877,0.2,8
reacher_gatejob_2270643_0.log,goal-gate t25 native seed=42,reacher,specaccept,,128,42,10,,25,50,,,,90.62,0.857,0.2,8
reacher_gatejob_2270643_1.log,goal-gate t25 native seed=43,reacher,specaccept,,128,43,10,,25,50,,,,93.75,0.851,0.2,8
reacher_gatejob_2270643_2.log,goal-gate t25 native seed=44,reacher,specaccept,,128,44,10,,25,50,,,,90.62,0.830,0.2,8
reacher_gatejob_2270643_3.log,goal-gate t25 native seed=45,reacher,specaccept,,128,45,10,,25,50,,,,91.41,0.877,0.2,8
reacher_gatejob_2270643_4.log,goal-gate t100 (max-offset-100 pop) seed=42,reacher,specaccept,,128,42,10,,100,200,reacher_gate.ep100.t4.json,,,82.03,0.830,0.2,8
