rel,accepted,ee_dist
0.127234,1,0.069674
0.150079,1,0.125291
0.085833,1,0.016773
0.075804,1,0.032688
0.101198,1,0.088461
0.082612,1,0.044960
0.122139,1,0.071743
0.169156,1,0.113202
0.108573,1,0.065944
0.176902,1,0.126699
0.236878,0,0.337086
0.076795,1,0.017262
0.157821,1,0.151812
0.107230,1,0.079936
0.131125,1,0.117464
0.151001,1,0.119415
0.070861,1,0.033792
0.150910,1,0.428280
0.115097,1,0.146165
0.108800,1,0.057878
0.124178,1,0.097139
0.237217,0,0.357106
0.075812,1,0.032784
0.094698,1,0.085280
0.098569,1,0.035891
0.105624,1,0.122290
0.091871,1,0.012532
0.115512,1,0.058874
0.107304,1,0.063302
0.109408,1,0.058256
0.049001,1,0.001455
0.112074,1,0.069420
0.115064,1,0.068413
0.123682,1,0.011189
0.067687,1,0.000276
0.128517,1,0.229403
0.093784,1,0.018438
0.115860,1,0.026184
0.262547,0,0.100328
0.153126,1,0.308397
0.119528,1,0.035563
0.158238,1,0.509650
0.136599,1,0.105766
0.229225,0,0.046849
0.158319,1,0.046439
0.160240,1,0.260356
0.113491,1,0.038519
0.051775,1,0.006640
0.095552,1,0.019584
0.182734,1,0.071908
0.100258,1,0.036709
0.088927,1,0.045460
0.215897,0,0.102361
0.198024,1,0.228086
0.119021,1,0.181714
0.094188,1,0.033435
0.138214,1,0.022628
0.182560,1,0.062146
0.147543,1,0.448728
0.049489,1,0.014241
0.096104,1,0.012096
0.100747,1,0.179968
0.183229,1,0.348895
0.075522,1,0.021932
0.107497,1,0.021492
0.091027,1,0.003759
0.103930,1,0.057313
0.198313,1,0.095809
0.041940,1,0.009187
0.136347,1,0.516353
0.085534,1,0.048357
0.047434,1,0.004792
0.093178,1,0.026987
0.115806,1,0.082568
0.078582,1,0.007459
0.100747,1,0.179968
0.095173,1,0.037818
0.172286,1,0.024997
0.074931,1,0.008626
0.140165,1,0.058249
0.097837,1,0.075454
0.131725,1,0.038795
0.095997,1,0.078684
0.207393,0,0.121374
0.049356,1,0.002507
0.119266,1,0.170368
0.233634,0,0.444104
0.153707,1,0.166760
0.093386,1,0.024957
0.124688,1,0.029195
0.109094,1,0.028313
0.303350,0,0.043438
0.209024,0,0.051367
0.246574,0,0.098080
0.078217,1,0.028655
0.110227,1,0.042317
0.124087,1,0.069339
0.154735,1,0.127031
0.281934,0,0.450774
0.118250,1,0.034422
0.109427,1,0.017589
0.085243,1,0.016203
0.102976,1,0.012212
0.084770,1,0.009847
0.126776,1,0.106644
0.092445,1,0.016013
0.115435,1,0.016108
0.057685,1,0.005380
0.139352,1,0.137515
0.175070,1,0.069155
0.175618,1,0.093150
0.233980,0,0.411409
0.124907,1,0.171344
0.147391,1,0.148726
0.269195,0,0.082958
0.085367,1,0.027191
0.073107,1,0.028934
0.317718,0,0.069232
0.092775,1,0.015588
0.246209,0,0.114017
0.257513,0,0.062364
0.226225,0,0.311813
0.160139,1,0.134285
0.276010,0,0.555228
0.098739,1,0.220771
0.102640,1,0.039151
0.098068,1,0.057837
0.232681,0,0.444103
0.169487,1,0.153601
0.124638,1,0.073086
0.116805,1,0.015791
0.054817,1,0.000006
0.141574,1,0.001758
0.131548,1,0.049921
0.107853,1,0.034676
0.120675,1,0.118730
0.205850,0,0.233528
0.093063,1,0.008145
0.066129,1,0.005320
0.080607,1,0.021028
0.120749,1,0.026144
0.211037,0,0.161692
0.083325,1,0.035736
0.064996,1,0.077500
0.101931,1,0.065857
0.071322,1,0.018997
0.094813,1,0.025651
0.065560,1,0.024350
0.208622,0,0.143011
0.106017,1,0.069371
0.048120,1,0.062588
0.088017,1,0.030141
0.101207,1,0.059275
0.114079,1,0.071882
0.103490,1,0.008639
0.053470,1,0.013808
0.076258,1,0.027941
0.073373,1,0.025652
0.069279,1,0.034184
0.087701,1,0.011823
0.083745,1,0.045834
0.092741,1,0.017012
0.142803,1,0.127870
0.105183,1,0.035115
0.143373,1,0.028176
0.068222,1,0.011881
0.087602,1,0.003138
0.132032,1,0.185812
0.091383,1,0.038610
0.102399,1,0.043132
0.080157,1,0.020894
0.081196,1,0.030898
0.098678,1,0.032633
0.135522,1,0.176052
0.116296,1,0.089472
0.112989,1,0.007116
0.099476,1,0.037448
0.205406,0,0.222162
0.070951,1,0.021155
0.074932,1,0.029533
0.083500,1,0.018764
0.076219,1,0.026481
0.051548,1,0.007374
0.063632,1,0.333043
0.058450,1,0.058731
0.094809,1,0.188126
0.097504,1,0.463288
0.099188,1,0.254893
0.070829,1,0.454467
0.054816,1,0.045880
0.076154,1,0.352713
0.086162,1,0.292672
0.104727,1,0.493112
0.066220,1,0.437938
0.060267,1,0.412810
0.085627,1,0.129299
0.068866,1,0.104510
0.077943,1,0.386586
0.095946,1,0.275005
0.089401,1,0.014491
0.047860,1,0.031148
0.074883,1,0.052855
0.054293,1,0.256758
0.082132,1,0.356222
0.117093,1,0.486193
0.084061,1,0.442996
0.086095,1,0.403635
0.055236,1,0.019949
0.097096,1,0.191436
0.093232,1,0.333119
0.072068,1,0.134739
0.068394,1,0.175997
0.098597,1,0.235772
0.080411,1,0.321905
0.076909,1,0.240551
0.065066,1,0.263721
0.074063,1,0.480535
0.070889,1,0.312920
0.098118,1,0.280153
0.076325,1,0.331338
0.114171,1,0.398983
0.093600,1,0.335865
0.055853,1,0.288846
0.064155,1,0.061305
0.161635,1,0.322996
0.142923,1,0.087593
0.127599,1,0.430023
0.129725,1,0.349916
0.062483,1,0.002623
0.088755,1,0.222957
0.074094,1,0.013467
0.053715,1,0.063988
0.064450,1,0.141247
0.080315,1,0.238387
0.089500,1,0.022870
0.150548,1,0.242117
0.109687,1,0.128562
0.118946,1,0.052512
0.158058,1,0.231576
0.091910,1,0.079193
0.099543,1,0.088029
0.099786,1,0.081085
0.090892,1,0.076369
0.097091,1,0.068859
0.104924,1,0.022384
